"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect_descriptive","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper"
"69","West Herald","HERA-01","T6",41.7,"passage","gentle_slope",2,18,2,4,0,0
"70","West Herald","HERA-01","T7",40.5,"passage","gentle_slope",2,10,1,8,0,8
"71","West Herald","HERA-01","T8",40.4,"passage","gentle_slope",2,20,0,3,4,1
"72","West Herald","HERA-01","T9",37.1,"passage","gentle_slope",3,14,3,8,0,3
"73","Hermit Crab Islet","HERM-01","T1",46.2,"lagoon","flat",1,10,0,2,0,6
"74","Hermit Crab Islet","HERM-01","T2",46.6,"lagoon","flat",1,9,0,0,0,1
"75","Hermit Crab Islet","HERM-01","T4",47.1,"lagoon","flat",0,1,0,0,0,0
"76","Hermit Crab Islet","HERM-01","T5",46.4,"lagoon","flat",1,5,0,0,0,0
"77","Hermit Crab Islet","HERM-01","T7",47.7,"lagoon","flat",1,3,0,1,0,0
"78","Hermit Crab Islet","HERM-01","T8",47.9,"lagoon","flat",1,2,0,0,0,6
"79","Hermit Crab Islet","HERM-01","T9",48.9,"lagoon","flat",0,0,0,0,0,0
"80","West Holmes","HOLM-01","T1",55,"outer_slope","steep_slope",3,3,0,0,0,0
"81","West Holmes","HOLM-01","T10",34.7,"outer_slope","gentle_slope",1,3,0,1,0,0
"82","West Holmes","HOLM-01","T2",51,"outer_slope","steep_slope",3,9,0,1,1,0
"83","West Holmes","HOLM-01","T3",52.4,"outer_slope","steep_slope",3,2,0,0,0,0
"84","West Holmes","HOLM-01","T4",55,"outer_slope","steep_slope",4,2,0,0,0,0
"85","West Holmes","HOLM-01","T5",46.4,"outer_slope","moderate_slope",3,13,0,0,0,0
"86","West Holmes","HOLM-01","T6",42.5,"outer_slope","moderate_slope",4,5,0,2,0,0
"87","West Holmes","HOLM-01","T7",43,"outer_slope","moderate_slope",3,2,0,0,0,0
"88","West Holmes","HOLM-01","T8",36.8,"outer_slope","moderate_slope",2,4,0,1,2,1
"89","West Holmes","HOLM-01","T9",36,"outer_slope","moderate_slope",2,9,0,7,0,0
"90","East Holmes","HOLM-02","T1",62.7,"outer_slope","steep_slope",3,2,0,0,0,0
"91","East Holmes","HOLM-02","T10",37,"outer_slope","gentle_slope",2,10,0,2,0,1
"92","East Holmes","HOLM-02","T11",35,"outer_slope","gentle_slope",2,11,1,5,0,1
"93","East Holmes","HOLM-02","T12",31.2,"outer_slope","gentle_slope",2,3,0,1,0,2
"94","East Holmes","HOLM-02","T13",28,"outer_slope","gentle_slope",2,8,0,10,0,3
"95","East Holmes","HOLM-02","T2",63.7,"outer_slope","steep_slope",3,6,0,0,0,0
"96","East Holmes","HOLM-02","T3",64.2,"outer_slope","steep_slope",4,0,0,0,0,0
"97","East Holmes","HOLM-02","T4",63.2,"outer_slope","steep_slope",4,4,2,0,0,0
"98","East Holmes","HOLM-02","T5",63.1,"outer_slope","steep_slope",3,0,0,0,0,0
"99","East Holmes","HOLM-02","T6",56.6,"outer_slope","steep_slope",3,3,0,0,0,0
"100","East Holmes","HOLM-02","T7",54.5,"outer_slope","steep_slope",4,3,0,0,0,0
"101","East Holmes","HOLM-02","T8",46.6,"outer_slope","wall",4,0,0,0,0,0
"102","East Holmes","HOLM-02","T9",45,"outer_slope","wall",4,2,0,0,0,0
"103","Kenn","KENN-01","T1",40.8,"outer_slope","steep_slope",4,5,1,4,0,2
"104","Kenn","KENN-01","T2",31.1,"outer_slope","steep_slope",4,4,0,3,1,2
"105","Kenn","KENN-01","T3",31.4,"outer_slope","gentle_slope",3,29,3,5,1,4
"106","Kenn","KENN-01","T4",32.3,"outer_slope","gentle_slope",3,8,0,0,0,0
"107","Lorna Cay","LORN-01","T1",45.1,"outer_slope","flat",2,6,0,9,0,2
"108","Lorna Cay","LORN-01","T10",50.1,"outer_slope","steep_slope",1,0,0,0,0,0
"109","Lorna Cay","LORN-01","T11",50.1,"outer_slope","steep_slope",3,0,0,0,0,0
"110","Lorna Cay","LORN-01","T12",55.6,"outer_slope","steep_slope",4,1,0,0,0,1
"111","Lorna Cay","LORN-01","T13",55.2,"outer_slope","steep_slope",3,0,0,2,0,1
"112","Lorna Cay","LORN-01","T2",31.2,"outer_slope","flat",1,0,0,0,0,0
"113","Lorna Cay","LORN-01","T3",30.8,"outer_slope","flat",2,0,0,0,0,0
"114","Lorna Cay","LORN-01","T4",33,"outer_slope","flat",2,0,0,0,0,0
"115","Lorna Cay","LORN-01","T5",31.7,"outer_slope","flat",2,1,0,0,0,0
"116","Lorna Cay","LORN-01","T6",32.5,"outer_slope","flat",2,4,0,2,0,1
"117","Lorna Cay","LORN-01","T7",36.5,"outer_slope","flat",3,3,0,0,0,0
"118","Lorna Cay","LORN-01","T8",40,"outer_slope","gentle_slope",3,10,2,4,0,0
"119","Lorna Cay","LORN-01","T9",44.8,"outer_slope","gentle_slope",2,9,0,2,0,0
"120","Marion","MARI-01","T1",33.9,"lagoon","flat",2,1,0,7,0,1
"121","Marion","MARI-01","T3",34.7,"lagoon","flat",0,0,0,0,0,0
"122","Marion","MARI-01","T5",34.9,"lagoon","flat",1,0,0,0,0,0
"123","Marion","MARI-01","T6",35,"lagoon","flat",1,1,0,4,0,1
"124","Marion","MARI-01","T7",34.9,"lagoon","flat",1,0,0,0,0,0
"125","Marion","MARI-01","T8",35.1,"lagoon","flat",0,0,0,0,0,0
"126","Osprey","OSPR-01","T1",87.6,"outer_slope","wall",3,0,0,0,0,0
"127","Osprey","OSPR-01","T10",56.2,"outer_slope","wall",3,0,0,0,0,0
