Coral_size,Tile_number,Fish_species,Fish_ind,Nubbins_start,Nubbins_end
2,T10,Chaetodon lunulatus,CL10,10,10
3,T1,Chaetodon lunulatus,CL1,8,8
3,T2,Chaetodon lunulatus,CL2,8,8
1,T10,Chlorurus sordidus,CS10,10,10
2,T1,Chlorurus sordidus,CS1,10,9
2,T2,Chlorurus sordidus,CS2,10,9
2,T3,Chlorurus sordidus,CS3,10,10
2,T4,Chlorurus sordidus,CS4,10,10
2,T5,Chlorurus sordidus,CS5,10,10
2,T6,Chlorurus sordidus,CS6,10,10
2,T7,Chlorurus sordidus,CS7,10,10
2,T8,Chlorurus sordidus,CS8,10,10
4,T5,Siganus fuscescens,SF5,8,8
4,T6,Siganus fuscescens,SF6,8,8
4,T7,Siganus fuscescens,SF7,8,8
4,T8,Siganus fuscescens,SF8,8,8
4,T9,Siganus fuscescens,SF9,8,8
4,T10,Siganus fuscescens,SF10,8,8
5,T1,Siganus fuscescens,SF1,7,7
5,T2,Siganus fuscescens,SF2,8,8
5,T3,Siganus fuscescens,SF3,8,7
5,T4,Siganus fuscescens,SF4,8,8
5,T5,Siganus fuscescens,SF5,7,7
5,T6,Siganus fuscescens,SF6,7,7
5,T7,Siganus fuscescens,SF7,7,7
5,T8,Siganus fuscescens,SF8,7,7
5,T9,Siganus fuscescens,SF9,7,7
2,T1,Chaetodon kleinii,CK1,10,10
2,T2,Chaetodon kleinii,CK2,10,10
2,T3,Chaetodon kleinii,CK3,10,10
2,T4,Chaetodon kleinii,CK4,10,10
2,T5,Chaetodon kleinii,CK5,10,10
3,T1,Chlorurus sordidus,CS1,8,8
3,T2,Chlorurus sordidus,CS2,8,8
2,T9,Chlorurus sordidus,CS9,9,9
2,T10,Chlorurus sordidus,CS10,10,10
3,T3,Chlorurus sordidus,CS3,8,8
3,T4,Chlorurus sordidus,CS4,8,8
3,T5,Chlorurus sordidus,CS5,8,8
3,T6,Chlorurus sordidus,CS6,8,8
4,T1,Chaetodon lunulatus,CL1,8,8
4,T2,Chaetodon lunulatus,CL2,8,8
4,T3,Chaetodon lunulatus,CL3,8,8
3,T3,Chaetodon lunulatus,CL3,8,8
3,T4,Chaetodon lunulatus,CL4,8,8
3,T5,Chaetodon lunulatus,CL5,8,8
3,T6,Chaetodon lunulatus,CL6,8,7
3,T7,Chaetodon lunulatus,CL7,8,8
3,T8,Chaetodon lunulatus,CL8,8,8
3,T9,Chaetodon lunulatus,CL9,8,8
3,T10,Chaetodon lunulatus,CL10,8,8
5,T10,Siganus fuscescens,SF10,7,7
2,T6,Chaetodon kleinii,CK6,10,10
2,T7,Chaetodon kleinii,CK7,10,10
2,T8,Chaetodon kleinii,CK8,10,10
2,T9,Chaetodon kleinii,CK9,10,10
2,T10,Chaetodon kleinii,CK10,10,10
3,T7,Chlorurus sordidus,CS7,8,8
3,T8,Chlorurus sordidus,CS8,8,7
3,T9,Chlorurus sordidus,CS9,8,8
3,T10,Chlorurus sordidus,CS10,8,8
4,T1,Chlorurus sordidus,CS1,8,8
4,T2,Chlorurus sordidus,CS2,8,8
4,T3,Chlorurus sordidus,CS3,8,8
4,T4,Chlorurus sordidus,CS4,8,8
4,T5,Chlorurus sordidus,CS5,8,7
4,T4,Chaetodon lunulatus,CL4,7,7
4,T5,Chaetodon lunulatus,CL5,8,8
4,T6,Chaetodon lunulatus,CL6,8,8
4,T7,Chaetodon lunulatus,CL7,8,8
4,T8,Chaetodon lunulatus,CL8,7,7
4,T9,Chaetodon lunulatus,CL9,8,8
4,T10,Chaetodon lunulatus,CL10,8,8
5,T1,Chaetodon lunulatus,CL1,8,8
5,T2,Chaetodon lunulatus,CL2,7,7
5,T3,Chaetodon lunulatus,CL3,8,8
5,T4,Chaetodon lunulatus,CL4,8,8
3,T1,Chaetodon kleinii,CK1,8,8
3,T2,Chaetodon kleinii,CK2,8,8
3,T3,Chaetodon kleinii,CK3,8,8
3,T4,Chaetodon kleinii,CK4,8,7
3,T5,Chaetodon kleinii,CK5,8,8
5,T5,Chaetodon lunulatus,CL5,7,7
5,T6,Chaetodon lunulatus,CL6,7,6
5,T7,Chaetodon lunulatus,CL7,7,7
5,T8,Chaetodon lunulatus,CL8,8,7
5,T9,Chaetodon lunulatus,CL9,7,6
5,T10,Chaetodon lunulatus,CL10,7,7
4,T6,Chlorurus sordidus,CS6,8,8
4,T7,Chlorurus sordidus,CS7,8,8
4,T8,Chlorurus sordidus,CS8,8,7
4,T9,Chlorurus sordidus,CS9,8,6
4,T10,Chlorurus sordidus,CS10,8,6
5,T1,Chlorurus sordidus,CS1,6,6
5,T2,Chlorurus sordidus,CS2,7,6
5,T3,Chlorurus sordidus,CS3,7,4
5,T4,Chlorurus sordidus,CS4,8,6
3,T6,Chaetodon kleinii,CK6,8,8
3,T7,Chaetodon kleinii,CK7,8,8
3,T8,Chaetodon kleinii,CK8,8,8
3,T9,Chaetodon kleinii,CK9,8,8
3,T10,Chaetodon kleinii,CK10,8,8
5,T5,Chlorurus sordidus,CS5,7,7
5,T6,Chlorurus sordidus,CS6,7,6
5,T7,Chlorurus sordidus,CS7,7,7
5,T8,Chlorurus sordidus,CS8,7,6
5,T9,Chlorurus sordidus,CS9,7,7
5,T10,Chlorurus sordidus,CS10,8,7
4,T1,Chaetodon kleinii,CK1,8,8
4,T2,Chaetodon kleinii,CK2,8,8
4,T3,Chaetodon kleinii,CK3,8,8
4,T4,Chaetodon kleinii,CK4,8,8
4,T5,Chaetodon kleinii,CK5,8,7
4,T6,Chaetodon kleinii,CK6,8,8
4,T7,Chaetodon kleinii,CK7,8,8
4,T8,Chaetodon kleinii,CK8,8,8
4,T9,Chaetodon kleinii,CK9,8,8
4,T10,Chaetodon kleinii,CK10,8,8
5,T1,Chaetodon kleinii,CK1,7,7
5,T2,Chaetodon kleinii,CK2,7,7
5,T3,Chaetodon kleinii,CK3,7,7
5,T4,Chaetodon kleinii,CK4,9,8
5,T5,Chaetodon kleinii,CK5,7,7
5,T6,Chaetodon kleinii,CK6,7,7
5,T7,Chaetodon kleinii,CK7,8,8
5,T8,Chaetodon kleinii,CK8,8,8
5,T9,Chaetodon kleinii,CK9,8,8
5,T10,Chaetodon kleinii,CK10,8,8
